# Antenna elements layout
# Station label: stn.454.S14-2
# Number of antennas: 256
# Station diameter: 35.00 [m]
# Antenna minimum separation: 1.50 [m]
# X[m]  Y[m]
9.604010305902907163e+00 -1.113049848234510364e+01
-1.565040899318910483e+01 3.818401344098912631e+00
-1.336668020621431374e+01 6.834939597470398809e+00
2.684280466552657174e+00 1.274426000871621056e+01
7.368545281765207733e+00 -5.396286692117058692e+00
-1.050603676550761101e+01 -3.186317023256258096e+00
-1.428415456125911476e+01 -7.704964126683698566e+00
1.558398977097639460e+01 5.464967226181549620e-01
-1.213322276795888044e+01 5.854177339271341651e+00
5.221032871071560777e+00 1.152704342108913949e+01
-3.805514767932731246e+00 1.409122320950057272e+01
3.946839327383326435e+00 1.061183027931643252e+01
-6.047077658608834838e+00 -1.482712978310283347e+01
-4.913564867007025327e+00 8.949957035771944902e+00
-3.507270814581389118e-01 1.296713635533303233e+01
3.796405630168663947e+00 -1.631382629844997112e+01
-1.111532968035736246e+01 -1.029522523224241404e+01
7.180585991839439686e+00 1.061273403059196241e+01
-6.976811385460232273e+00 -6.134401203878184106e+00
-8.703425038020517590e+00 2.615884382510536454e+00
-1.075314479119304956e+01 -4.142340714594929807e-01
-4.570422001726948125e+00 -1.040074499043749512e+01
-1.597149377458198138e+01 -1.863926025687376864e+00
1.351397505375182106e+00 3.124096013994755339e+00
1.225000346294525500e+01 -1.020734981759386883e+01
-2.796187227268147169e+00 -9.980143021429654482e+00
8.183536208263035405e+00 1.295966413895852654e+01
-6.951006737802295277e+00 -1.191014947370420352e+01
8.909436535855022044e+00 6.840301631770898894e+00
1.070582263034673431e+01 2.256495620154787218e+00
-4.719889171427102070e+00 4.808928590427825611e-01
-8.342992731726054600e+00 7.240960455470791146e+00
1.511553029744634102e+01 -3.619856549102092202e+00
9.817276991830460986e+00 -4.000891158724810381e+00
-2.451228795306903407e-01 -1.237791512157535578e+00
-4.711876386266208527e+00 5.884726002300304515e+00
-2.245184484593883312e+00 1.472891952972649676e+01
1.065680478264362918e+01 9.361624333628537187e+00
-1.432014724628577795e+01 8.592320248620353595e+00
-1.222086868107182944e+01 -5.874741985641129816e+00
-1.340380400027132879e+01 2.068894426185369895e+00
-1.296976982861799854e+00 2.806285975872434335e+00
1.049161618679152141e+01 1.288809571341101545e+01
-1.099826650522429894e+01 2.832050988663006308e+00
-5.795065370656486081e+00 -3.814233494823342951e+00
3.502813017070796064e+00 -1.154542597618813460e+01
-1.503027980091184723e+01 -2.096136393241465612e-03
4.876337471807854484e+00 2.055740895887694819e+00
-9.348422929413926497e+00 1.050700152435859991e+01
-4.012161051814354451e+00 1.217353784757357005e+01
8.560699542585481936e+00 -1.389817245395304823e+01
7.240642836411783634e+00 -3.851945686126754254e+00
7.322922837549601383e+00 -7.649419153621103362e+00
2.355398931954262309e+00 7.322784569232730689e+00
1.787695642107696159e+00 -6.615078845013107056e+00
-6.995504088801881792e+00 1.169683104699646137e+01
6.865058781911177022e+00 -1.165651644153643929e+01
-7.905344173397361729e+00 -9.008196919766046307e+00
-1.814977491421959854e+00 8.671498770714393345e+00
1.399646778358753352e+01 -7.795017761074436891e+00
1.480477476941782555e+01 -1.432646902747659823e+00
-3.472005664673925907e+00 3.927812233130783426e+00
5.645062089415631590e+00 8.432197112477258116e+00
-3.287120743525578703e+00 8.211585302616821735e+00
-3.874130454122362011e+00 -1.353146312307038812e+01
-5.297291890142350468e+00 1.521058677716175822e+01
7.581334395383812819e+00 -1.145181381016190159e+00
2.987704395954516201e+00 -3.578915124246023538e+00
1.643447394539994377e+01 3.020428677999461797e+00
1.138454860016218007e+01 -4.453143489204112626e+00
-1.900882818905843763e+00 1.144416971105423286e+01
1.315225269765213767e+01 -3.940632524176965745e+00
9.786019084232314924e+00 4.557156377023886762e+00
1.128653884146980602e+01 -9.056875162476297092e+00
7.909932924137301313e+00 2.971161626110745857e+00
5.186078542428319338e+00 -7.569170645842572043e+00
-5.440204754248421537e+00 1.064434174507094610e+01
-1.445237731185731178e+00 1.668360919947669174e+01
7.423443102117310843e-01 -1.597447076591909898e+01
-9.081160749655873943e+00 -1.183480139715214108e+01
-1.932707449135964595e+00 7.254676558709149958e-01
1.572175636666359111e+01 -5.377071051173805571e+00
6.581099669133998020e+00 1.359394609564478529e+01
-8.081010169139815957e+00 1.281540074203667956e+01
-4.319686837476162111e-01 -2.913762719748966390e+00
9.603076662839200139e+00 -9.053716076701798343e+00
-1.332332578594630945e+01 3.786125476323501715e+00
-5.086975359289997556e+00 4.239672218742811083e+00
2.612206859699082173e+00 -2.469414219405479116e-01
-9.843566850697204274e+00 4.663288325813493174e+00
-1.312559631722805875e+00 -1.294549758478528645e+01
4.582534838868426164e-01 8.893906242793729433e+00
-1.186921814878195036e+01 -1.489763130164977412e+00
7.122097050052378364e+00 -1.315279055766630378e+01
6.542202579937168139e+00 3.679115891681128403e-01
7.295267698405041301e+00 4.463921857110669578e+00
1.338000146642911403e+01 7.059541039246990834e+00
-2.828826280337588983e+00 -5.961745219714595478e+00
8.649971151918521173e+00 -6.582132699100048612e+00
-1.438984947094964895e+01 -1.540584030763415768e+00
4.642051907412270140e+00 -1.317020404600522809e+01
8.466130894922265782e-01 -9.739739007380009639e+00
-3.129699295369430700e+00 -1.578013825018894423e+00
-1.258740750516743390e+01 8.900412327915166344e+00
-2.993272221322589743e+00 -8.276081829895799657e+00
-7.061662813071144740e+00 6.114093205328636316e+00
3.356200928468247469e+00 4.694775783640572797e+00
-6.193186895579664508e+00 1.316337896042868039e+01
-3.582559198238721265e+00 9.877061360691453018e+00
3.857115126075441935e+00 -1.934952958767194531e+00
1.225197801341090198e+01 -1.886544275515023017e+00
-9.035126932835842339e+00 -2.125966508220397344e+00
-1.607849836513326025e+00 -3.860212375869327417e+00
-1.040204147705111382e+00 6.993878053753476820e+00
9.780308908937165313e-01 -1.347655393461133855e+01
-2.867005916989029402e-01 1.480533299633476929e+01
2.993065600738447074e+00 1.558620335188999917e+01
1.281347222596118129e+01 4.024894305854886056e+00
-6.995570871989189143e+00 3.104438412529944458e+00
-4.842952799412822529e+00 -7.645762727977567508e+00
-1.114523173277825485e+01 -1.197582915850732377e+01
-6.193363440064107550e+00 1.216305252127366288e+00
5.638970994190447783e+00 -9.993320043648164841e+00
9.510992323295681672e-01 1.662845952880545042e+01
1.182692178315144460e+01 6.282328192186945159e+00
1.292450839924083539e+01 8.809007448837867571e+00
5.728613379490496982e-01 -1.196858346440573229e+01
-9.677130592604125781e+00 -6.536809282241330621e+00
-6.381239111359260363e+00 -6.990807083615067086e-01
1.313106172184312470e+00 1.459031776317551987e+01
-5.446289746261664177e+00 -5.730979268511429581e+00
5.349810190391117715e-01 -7.466018201784670794e+00
5.018063162894204510e+00 -2.930945105240414961e+00
1.732205251851794969e+00 1.093436844846154443e+01
-1.140060997341729276e+01 -7.354642911076439304e+00
-1.169887040463121863e+01 1.079809607562182094e+01
-5.579071283805411952e+00 -9.157697848840401278e+00
-1.502936544830536825e+01 6.466236506503832970e+00
-8.806908114527672637e+00 -1.341478872896396268e+01
1.476223802854436684e+01 4.241279937957628476e+00
-1.279131452344980602e+00 -1.082581454674988208e+01
-3.311786883601845588e+00 -1.630051322490857757e+01
-8.755617883466275231e+00 2.241759675986578770e-01
9.171278099747620871e+00 -2.352474425205492992e-01
1.098659264792328827e+01 -1.256257295534494567e+01
7.159121820287282389e+00 -9.980631654644607664e+00
1.079048878869947714e+00 9.401553895764180879e-01
-6.483111733913785812e+00 8.087924582800798845e+00
2.268741190218815262e+00 -8.048551526144235524e+00
-1.533130976334085460e+01 -3.556215706498058182e+00
2.330226991369595879e+00 -1.016387455048001698e+01
-1.427299082167223254e+01 -6.111182272379782177e+00
4.868237483306078417e+00 -1.718297612015753373e-01
1.275948529322991476e+01 1.043487569697785844e+01
5.005504167325931064e+00 7.028987865494201515e+00
-3.471553554841859679e+00 1.526053680107757771e+00
-7.324074180261305855e+00 1.444813258569104164e+01
5.308761116549174375e+00 3.748191778107571537e+00
1.265077454182588212e+01 -4.003430721150778027e-01
4.778923185592052647e+00 1.597676506370324745e+01
-7.285832814343848440e+00 -1.346975614441249292e+01
8.891228120940450452e+00 -1.892275926849041667e+00
-8.876761729909858900e-01 -8.250959512416130792e+00
-9.954012524120699368e+00 -8.092523105924271931e+00
7.097588260615594891e-02 1.132077458764215550e+01
-1.183142694765794545e+01 -4.216038739022758719e+00
1.296379565655708888e+00 4.897805600797454417e+00
-1.485202431505912735e+01 2.520137053999135901e+00
5.022108387911544014e+00 1.390910523671582411e+01
1.422336803450973974e+01 2.060426417840872659e+00
1.024646809371160217e+01 -6.848153268785203807e+00
-2.639085921796620937e+00 6.402723958729204412e+00
1.223548548264799152e+01 -6.174413427099228358e+00
-3.296776978466397168e+00 1.587292480431688091e+01
5.118797598470301580e-01 -4.807504428804943331e+00
3.176170757522942978e+00 -1.417612005261893771e+01
6.297183718054029100e-01 7.365169192604412274e+00
-9.674942963067572066e-01 -1.525277423552348033e+01
-1.171873153118739452e+01 4.220578782597399936e+00
3.575013059880074451e+00 1.269089363710108387e+00
-8.122667791153070027e+00 4.471322390350394471e+00
-1.220219531960211157e+01 3.796281769528135897e-01
1.375462307504840709e+01 -5.474548673541384858e+00
6.111296480752184124e+00 -1.887481516902413503e+00
-5.037584525397349466e-01 4.248782926398103399e+00
-7.769517835562901098e+00 -3.690965026196904475e+00
6.260231579292213411e+00 -6.413197459535171063e+00
8.003630053765778740e+00 8.137170097268388247e+00
-1.322475400084363173e+01 -1.007572039919919149e+01
3.297505627065234535e+00 -6.368663132893942702e+00
-1.224404008107641317e+01 -8.669264468487867248e+00
4.507317212158579167e+00 -5.368568633256099787e+00
-1.057222635579230996e+01 1.260758798009482007e+01
-1.093985037234144642e+00 1.012607247943792643e+01
5.295316579188416029e+00 5.414629692046801779e+00
-1.017411919088531214e+01 8.331229231110466316e+00
-7.439597193416389587e-01 -5.699228751498436552e+00
1.425432582829092709e+01 5.779537852845091805e+00
-2.828503295660755867e+00 -1.168847725666638837e+01
-1.645895860400548827e+01 2.075124402183401884e+00
-4.531826306428781592e+00 -1.492331689603204836e+01
1.263200175300874761e+01 2.357248095088596784e+00
1.064111705485793635e+01 1.093664131537927275e+01
-3.854369829679351156e+00 -3.962321847520478002e+00
-5.730262777799843832e-01 1.439663242332695603e+00
-8.759730384630428190e+00 -1.025191709375686777e+01
2.128096705540389877e+00 -1.839710418866783215e+00
-4.979789405046638251e+00 -2.350657599533668929e+00
8.789174781886348597e+00 1.724215511564757719e+00
-8.057156267176960540e+00 9.240366112859110359e+00
-1.092713405561509887e+01 1.261338002528120228e+00
4.058958539196328985e+00 8.669574636012249869e+00
2.337219781078612613e+00 -1.259835479202550701e+01
-6.809747267491305323e+00 -7.888889009367584748e+00
9.118553766066099797e+00 1.031668545665618453e+01
1.105172137334706051e+01 7.214122189498830551e-01
-9.470852447837811994e+00 -4.370372429506531375e+00
1.612610543432642629e+01 -2.398030964478532923e+00
-7.172810390239012790e+00 -2.153637567623796656e+00
7.469667425111701675e+00 6.080214417403947635e+00
1.082230856357755044e+01 7.510353441003502439e+00
-2.411650959119883808e+00 1.323412014964301875e+01
1.084591860064556101e+00 -3.112561724478988268e+00
-1.048276098109772647e+01 6.533767763300833309e+00
6.653965438315168512e+00 1.923737918924128820e+00
2.508907460925652089e+00 9.334741357268843132e+00
-1.273479502857631118e+01 -2.877248387569810717e+00
-1.599223089836057632e+01 -4.927704339809869438e+00
-1.184804669590713111e+01 7.368836164321816540e+00
4.724204135801652882e+00 -1.507406820318581708e+01
6.378724709440685814e+00 -1.446133613504607318e+01
-1.741379621889574736e+00 -1.003351354189636169e+00
-5.139600723867850718e+00 2.611834007647040323e+00
