# Antenna elements layout
# Station label: stn.117.C117
# Number of antennas: 256
# Station diameter: 35.00 [m]
# Antenna minimum separation: 1.50 [m]
# X[m]  Y[m]
-1.472666385151949697e+01 -6.622182364801444621e+00
5.315531742270113824e+00 3.276656009404455006e-01
-3.096290551142992342e+00 5.660903479624398216e+00
-8.036763943868347582e+00 -2.159487110989561032e+00
-2.721871399234920830e-01 1.462342750113676715e+01
1.377432559468487483e+01 4.146348920313524644e+00
1.345623438409443651e+00 1.556919977595116933e+01
4.865860180747016983e+00 -3.107761915936356090e+00
-4.974609064385479229e+00 9.397776061397969727e+00
7.787665313218948171e+00 -1.059111624295839249e+01
1.338006170288240426e+01 6.904293740887659681e+00
-6.570357482360151380e+00 1.023226791166250393e+01
1.300565854453938286e+01 2.560610509170977878e+00
-1.184351358327086778e+01 5.806115015887474584e+00
-1.385819279227681733e+01 3.166389298474090452e+00
9.404965527045888507e+00 5.131399083293928243e+00
-3.159184460691363938e+00 -3.527666092663032771e+00
-1.431892762516483231e+01 1.076789055230761960e+00
7.038183647843609947e-01 -3.866544266325874446e+00
6.551550355588528163e+00 1.243747255483339487e+01
1.123602968933960256e+01 1.225738248205385261e+01
5.348973723235062039e+00 -1.297851752709898321e+01
4.444624622783166501e+00 6.205111345024182157e+00
-1.289212081916519459e+01 8.565035751333581970e+00
-2.666284647400548380e+00 -1.133620448479395293e+01
8.995457744703578840e+00 2.264803491913323086e+00
-1.077599736778055117e+01 -5.621963155609321916e+00
1.175687295615979622e+00 8.288482764525063828e+00
1.148098585923875703e+01 1.044218879471008776e+01
-9.512784433155740516e+00 1.372338764889853735e+00
-4.192149215909976689e+00 -8.866173289457455198e+00
-7.115525100627237975e+00 -1.234304424880529183e+01
-1.064376650820536341e+01 8.518743950417505317e+00
6.194289912686979704e+00 -1.144636000027477607e+01
2.450873997720705688e+00 1.045018696645498935e+01
5.956037639577690612e+00 -6.880045191572818908e+00
1.147122303044132607e+01 -3.524930520764149477e+00
8.080212732961165045e+00 3.753461982479461057e+00
